keys,es,en,ca
options_tag_master,GENERAL,MASTER,GENERAL
options_tag_music,MÚSICA,MUSIC,MÚSICA
options_tag_sfx,EFECTOS,SFX    ,EFECTES
options_btn_back,ATRÁS,BACK,ENRERE
options_btn_quit,SALIR DEL JUEGO,QUIT GAME,SORTIR DEL JOC
options_tag_language,IDIOMA:,LANGUAGE:,IDIOMA:
options_obtn_language_es,ESPAÑOL,SPANISH,ESPANYOL
options_obtn_language_en,INGLÉS,ENGLISH,ANGLÈS
options_obtn_language_ca,CATALÁN,CATALAN,CATALÀ
start_text_1,TU NOMBRE ES:,YOUR NAME IS:,EL TEU NOM ÉS:
start_text_2,HACE DOS MESES,TWO MONTHS AGO,FA DOS MESOS
start_text_3,PERDISTE UNA,YOU LOST AN,VAS PERDRE UNA
start_text_4,APUESTA ILEGAL,ILLEGAL BET,APOSTA IL·LEGAL
start_text_5,AHORA DEBES:,NOW YOU OWE:,ARA DEUS:
start_text_6,AYER RECIBISTE,YESTERDAY YOU ,AHIR VAS
start_text_7,UN SMS...,RECEIVED AN SMS...,REBRE UN SMS...
game_text_lost,DERROTA,DEFEAT,DERROTA
game_text_win,VICTORIA,VICTORY,VICTÒRIA
game_text_win2,NO VUELVAS,DON'T COME BACK,NO TORNIS
game_text_draw,EMPATE,TIE,EMPAT
game_text_debt,DEUDA: ,DEBT: ,DEUTE: 
game_text_debt_lost,INFO. CLASIFICADA,CLASSIFIED INFO,INFO. CLASSIFICADA
game_text_debt1,GANANCIAS:,EARNINGS:,GUANYS:
game_text_date,DESAPARECIDO EL:,"WENT ""MISSING"" ON:",DESAPAREGUT EL:
game_text_tutorial,"Para ganar, debes conseguir que la suma de tus cartas sea mayor que la del rival arrastrando cartas del centro hacia cualquier mano.

Cuando ambos tenéis cinco cartas se determina el ganador.","To win, you must ensure that the sum of your cards is greater than that of your opponent by dragging cards from the centre to either hand.

When both players have five cards, the winner is determined.","Per a guanyar, has d'aconseguir que la suma de les teves cartes sigui major que la del rival arrossegant cartes del centre cap a qualsevol mà.

Quan tots dos teniu cinc cartes es determina el guanyador."
game_text_tutorial2,"El revolver está cargado al azar con 1 bala.

Una vez por turno puedes arriesgarte a dispararte, si sobrevives se reinician las cartas del centro.

Cada tiro fallido acerca más la bala. El revolver solo se reinicia al final de la ronda.","The revolver is randomly loaded with 1 bullet.

Once per turn, you can risk shooting yourself. If you survive, the cards in the centre are reset.

Each missed shot brings the bullet closer. The revolver is only reset at the end of the round.","El revòlver està carregat a l'atzar amb 1 bala.

Una vegada per torn pots arriscar-te a disparar-te, si sobrevius es reinicien les cartes del centre.

Cada tir fallit acosta més la bala. El revòlver només es reinicia al final de la ronda."
game_text_tutorial_life,VIDAS,LIVES,VIDES
game_text_tutorial_center,CENTRO,CENTRE,CENTRE
game_text_tutorial_revolver,REVÓLVER,REVOLVER,REVÒLVER
game_text_tutorial_rival_cardslot,"MANO
RIVAL","RIVAL
HAND","MÀ
RIVAL"
game_text_tutorial_cardslot,MANO,HAND,MÀ
pausemenu_btn_resume,CONTINUAR,CONTINUE,CONTINUAR
pausemenu_btn_mainmenu,MENÚ,MENU,MENÚ
game_text_win_yes,DOBLAR,DOUBLE,DOBLAR
game_text_win_no,SALIR,LEAVE,SORTIR
game_text_owing,DEUDA RESTANTE,REMAINING DEBT,DEUTE RESTANT
options_btn,OPCIONES,SETTINGS,OPCIONS
